출생년도,성별,직업,건기식_섭취제품,건기식_섭취빈도,건기식_섭취이유,건기식_선택기준,건기식_구매채널,녹용_인지도,녹용_섭취경험,녹용_이미지,녹용_구매장벽,녹용_매력요소,건기식_추천경로,릴스_선호스타일,콘텐츠_행동,건기식릴스_호감요인,건기식릴스_기억키워드,건기식_섭취량,연령대
1999,남,취준생,없음,전혀 안 먹음,섭취 안함,효능/효과,카카오톡 선물하기,1,한 번도 먹어본 적 없다,"고급 건강식품이다, 면역력에 좋다, 비싸다","가격 부담, 젊은 세대와 어울리지 않는 이미지, 정보 부족","스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지, 합리적인 가격대",지인 추천,트렌디한 밈/유머 형식,"단순 시청(아무 액션 X), 저장",재미있고 트렌디할 때,건강 루틴,0,20대 후반
1992,여,사무직,"비타민, 오메가3, 유산균",필요할 때만,면역력 증진,효능/효과,네이버 스마트스토어,4,과거에는 먹었지만 현재는 먹지 않는다,"고급 건강식품이다, 면역력에 좋다, 비싸다",가격 부담,합리적인 가격대,인스타그램,"리뷰형 (실제 후기, 체험담)","공유, 댓글 작성, 저장","재미있고 트렌디할 때, 이벤트/할인 정보가 있을 때",고객 후기,3,30대 초반
1996,남,취준생,비타민,필요할 때만,피로 회복,효능/효과,카카오톡 선물하기,3,한 번도 먹어본 적 없다,비싸다,정보 부족,"과학적 효능 인증 & 원산지 투명성, 스틱형/젤리형/양갱 등 간편한 섭취 방식",유튜브,"정보형 (효능, 성분 설명 등)",단순 시청(아무 액션 X),"신뢰할 만한 정보가 포함될 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","이벤트/특가, 천연 재료",1,30대 초반
1997,남,취준생,"비타민, 오메가3",매일,면역력 증진,맛과 섭취의 편리함,네이버 스마트스토어,3,한 번도 먹어본 적 없다,부모님/어르신용이다,"부작용, 효능에 대한 의심","맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식",유튜브,트렌디한 밈/유머 형식,"공유, 좋아요","제품 효능이 눈에 띄게 전달될 때, 재미있고 트렌디할 때, 신뢰할 만한 정보가 포함될 때","효능 (면역력, 체력 회복, 혈액 순환 등)",2,20대 후반
2000,여,취준생,"비타민, 오메가3, 유산균",주 2-3회,체력 강화,효능/효과,소셜커머스(쿠팡 등),3,한 번도 먹어본 적 없다,부모님/어르신용이다,정보 부족,"맛 개선(부담 없는 맛), 합리적인 가격대",유튜브,트렌디한 밈/유머 형식,"단순 시청(아무 액션 X), 저장","재미있고 트렌디할 때, 신뢰할 만한 정보가 포함될 때, 이벤트/할인 정보가 있을 때","고객 후기, 이벤트/특가, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,20대 후반
2000,남,취준생,"녹용, 유산균, 홍삼",주 2-3회,근성장,효능/효과,선물 받음,2,가끔 먹는다,"면역력에 좋다, 부모님/어르신용이다, 효과가 좋다","가격 부담, 맛/향에 대한 거부감, 젊은 세대와 어울리지 않는 이미지",트렌디한 디자인과 패키지,유튜브,"리뷰형 (실제 후기, 체험담)",단순 시청(아무 액션 X),"제품 효능이 눈에 띄게 전달될 때, 재미있고 트렌디할 때, 실제 사용자가 등장할 때, 감각적인 비주얼/디자인일 때, 신뢰할 만한 정보가 포함될 때","고객 후기, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,20대 후반
1998,여,취준생,비타민,매일,피로 회복,효능/효과,"오픈마켓(G마켓, 옥션 등)",3,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다, 비싸다","가격 부담, 맛/향에 대한 거부감, 젊은 세대와 어울리지 않는 이미지, 효능에 대한 의심","트렌디한 디자인과 패키지, 합리적인 가격대",지인 추천,트렌디한 밈/유머 형식,"저장, 좋아요","제품 효능이 눈에 띄게 전달될 때, 재미있고 트렌디할 때, 신뢰할 만한 정보가 포함될 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","고객 후기, 효능 (면역력, 체력 회복, 혈액 순환 등)",1,20대 후반
2000,여,취준생,"비타민, 유산균, 홍삼",필요할 때만,체력 강화,효능/효과,소셜커머스(쿠팡 등),4,과거에는 먹었지만 현재는 먹지 않는다,"고급 건강식품이다, 면역력에 좋다, 부모님/어르신용이다, 비싸다","가격 부담, 정보 부족, 효능에 대한 의심","과학적 효능 인증 & 원산지 투명성, 맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",유튜브,모름,단순 시청(아무 액션 X),"제품 효능이 눈에 띄게 전달될 때, 실제 사용자가 등장할 때, 감각적인 비주얼/디자인일 때, 신뢰할 만한 정보가 포함될 때","고객 후기, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,20대 후반
1999,남,취준생,"단백질 파우더, 오메가3",주 2-3회,체력 강화,맛과 섭취의 편리함,네이버 스마트스토어,3,과거에는 먹었지만 현재는 먹지 않는다,비싸다,"정보 부족, 효능에 대한 의심","맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",인스타그램,"리뷰형 (실제 후기, 체험담)","단순 시청(아무 액션 X), 저장","실제 사용자가 등장할 때, 이벤트/할인 정보가 있을 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","이벤트/특가, 효능 (면역력, 체력 회복, 혈액 순환 등)",2,20대 후반
1995,남,사무직,"비타민, 오메가3",매일,피로 회복,효능/효과,네이버 스마트스토어,3,가끔 먹는다,면역력에 좋다,"가격 부담, 정보 부족",스틱형/젤리형/양갱 등 간편한 섭취 방식,유튜브,"정보형 (효능, 성분 설명 등)","좋아요, 팔로우","제품 효능이 눈에 띄게 전달될 때, 이벤트/할인 정보가 있을 때","건강 루틴, 효능 (면역력, 체력 회복, 혈액 순환 등)",2,30대 초반
2001,여,취준생,"비타민, 오메가3, 유산균",매일,면역력 증진,효능/효과,소셜커머스(쿠팡 등),2,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다",정보 부족,트렌디한 디자인과 패키지,유튜브,"정보형 (효능, 성분 설명 등)",저장,제품 효능이 눈에 띄게 전달될 때,건강 루틴,3,20대 후반
1995,남,취준생,비타민,매일,피로 회복,효능/효과,선물 받음,2,과거에는 먹었지만 현재는 먹지 않는다,"고급 건강식품이다, 면역력에 좋다, 부모님/어르신용이다, 비싸다",가격 부담,스틱형/젤리형/양갱 등 간편한 섭취 방식,지인 추천,"리뷰형 (실제 후기, 체험담)",단순 시청(아무 액션 X),신뢰할 만한 정보가 포함될 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",1,30대 초반
