ID,질문 번호,질문 유형,질문 내용,응답 내용,질문 키워드,카테고리,감성,질문 카테고리
R001,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,귀찮아서 안먹게 됨,건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R002,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,"다른 제품의 효능과 중복됨, 알이 너무 커서 섭취 불편",건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R003,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,비쌈,건강기능식품 섭취 중단 이유,가격 장벽,부정,건기식 장벽 요인
R004,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,귀찮음,건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R005,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,필요성 못느낌,건강기능식품 섭취 중단 이유,필요성 부족,부정,건기식 장벽 요인
R006,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,번거로움,건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R007,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,"매번 챙겨먹기 번거로움, 효과를 못느낌",건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R007,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,"매번 챙겨먹기 번거로움, 효과를 못느낌",건강기능식품 섭취 중단 이유,효능 불확실,부정,건기식 장벽 요인
R008,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,효과를 못느낌,건강기능식품 섭취 중단 이유,효능 불확실,부정,건기식 장벽 요인
R009,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,챙겨먹기 귀찮음,건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R010,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,귀찮음,건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R011,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,대체식품으로 섭취중,건강기능식품 섭취 중단 이유,대체식품,중립,건기식 장벽 요인
R012,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,효능을 모르겠음,건강기능식품 섭취 중단 이유,효능 불확실,부정,건기식 장벽 요인
R013,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,귀찮음,건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R014,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,몸에 안맞음,건강기능식품 섭취 중단 이유,체질에 안맞음,부정,건기식 장벽 요인
R015,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,"효과 없음, 귀찮음",건강기능식품 섭취 중단 이유,효능 불확실,부정,건기식 장벽 요인
R015,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,"효과 없음, 귀찮음",건강기능식품 섭취 중단 이유,복용 불편,부정,건기식 장벽 요인
R016,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,구매 미룸,건강기능식품 섭취 중단 이유,필요성 부족,부정,건기식 장벽 요인
R017,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,복용 후 증상 악화,건강기능식품 섭취 중단 이유,체질에 안맞음,부정,건기식 장벽 요인
R018,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,효능 없음,건강기능식품 섭취 중단 이유,효능 불확실,부정,건기식 장벽 요인
R019,Q1,자유서술형,건강기능식품을 섭취 중단한 이유,비용 문제,건강기능식품 섭취 중단 이유,가격 장벽,부정,건기식 장벽 요인
R020,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,비쌈,녹용 제품 섭취 중단 이유,가격 장벽,부정,녹용 장벽 요인
R021,Q2,자유서술형,녹용 제품을 섭취 중단한 이유,"효과 못느낌, 비삼, 효능 검증 안됐다는 소문, 동물학대 이미지, 대체 식품 많음",녹용 제품 섭취 중단 이유,효능 불확실,부정,녹용 장벽 요인
